Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"ATORVASTATINE PHARMA 10 mg, comprimé pelliculé"
"ATORVASTATINE PHARMA 20 mg, comprimé pelliculé"
"ATORVASTATINE PHARMA 40 mg, comprimé pelliculé"
"ATORVASTATINE PHARMA 80 mg, comprimé pelliculé"
"ATORVASTATINE SUN 10 mg, comprimé pelliculé"
"ATORVASTATINE SUN 20 mg, comprimé pelliculé"
"ATORVASTATINE SUN 40 mg, comprimé pelliculé"
"ATORVASTATINE SUN 80 mg, comprimé pelliculé"
"ATOSIBAN 37,5 mg/5 ml, solution à diluer pour perfusion"
"ATOSIBAN 6,75 mg/0,9 ml, solution injectable en seringue préremplie"
"ATOSIBAN ALTAN 37,5 mg/5 mL, solution à diluer pour perfusion"
"ATOSIBAN ALTAN 6,75 mg/0,9 mL, solution injectable"
"ATOSIBAN EVER PHARMA 37,5 mg/5 mL, solution à diluer pour perfusion"
"ATOSIBAN EVER PHARMA 6,75 mg/0,9 mL, solution injectable"
"ATOSIBAN EVER PHARMA 75 mg/10 mL, solution à diluer pour perfusion"
"ATOSIBAN STRAGEN 37,5 mg/5 ml, solution à diluer pour perfusion"
"ATOSIBAN STRAGEN 6,75 mg/0,9 ml, solution injectable"
"ATOSIBAN SUN 37,5 mg/5 ml, solution à diluer pour perfusion"
"ATOSIBAN SUN 6,75 mg/0,9 ml, solution injectable"
"ATOVAQUONE 750 mg/5mL, suspension buvable"
"ATOVAQUONE/PROGUANIL 250 mg/100 mg, comprimé pelliculé"
"ATOVAQUONE/PROGUANIL 62,5 mg/25 mg ENFANTS, comprimé pelliculé"
"ATRACURIUM HIKMA 10 mg/mL, solution injectable/pour perfusion"
"ATRACURIUM KALCEKS 10 mg/mL, solution injectable/pour perfusion"
"ATRACURIUM Pfizer 10 mg/mL, solution injectable/pour perfusion"
"ATRIANCE 5 mg/ml, solution pour perfusion"
"ATRIPLA 600 mg/200 mg/245 mg, comprimé pelliculé"
"ATROPINE (SULFATE) AGUETTANT 0,25 mg/mL, solution injectable"
"ATROPINE (SULFATE) AGUETTANT 0,50 mg/1 mL, solution injectable"
"ATROPINE (SULFATE) AGUETTANT 1 mg/mL, solution injectable"
"ATROPINE (SULFATE) LAVOISIER 0,25 mg/1 ml, solution injectable"
"ATROPINE (SULFATE) LAVOISIER 0,50 mg/ml, solution injectable"
"ATROPINE (SULFATE) LAVOISIER 1 mg/ml, solution injectable"
"ATROPINE (SULFATE) PHARMACIE CENTRALE DES ARMEES 2 mg/mL, solution injectable"
"ATROPINE 1 POUR CENT FAURE, collyre en solution en récipient unidose"
"ATROPINE ALCON 0,3 POUR CENT, collyre"
"ATROPINE ALCON 0,5 POUR CENT, collyre"
"ATROPINE ALCON 1 POUR CENT, collyre"
"ATROPINE SULFATE 0,1 mg/mL solution injectable en seringue préremplie"
"ATROPINE SULFATE AGUETTANT 0,1 mg/mL, solution injectable en seringue préremplie"
"ATROPINE SULFATE AGUETTANT 0,2 mg/mL, solution injectable en seringue préremplie"
"ATROPINE SULFATE RENAUDIN 0,25 mg/ml, solution injectable en ampoule"
"ATROPINE SULFATE RENAUDIN 0,5 mg/ml, solution injectable en ampoule"
"ATROPINE SULFATE RENAUDIN 1 mg/ml, solution injectable en ampoule"
"ATROVENT 0,25 mg/1 ml ENFANTS, solution pour inhalation par nébuliseur en récipient unidose"
"ATROVENT 0,50 mg/1 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose"
"ATROVENT 20 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"ATROVENT ADULTES 0,5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose"
"ATROVENT ENFANTS 0,25 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose"
"ATROVENT NASAL 0,03 POUR CENT, solution nasale en flacon pulvérisateur"
"ATURGYL 0,05 POUR CENT, solution pour pulvérisation nasale"
"AUBAGIO 14 mg, comprimé pelliculé"
"AUBAGIO 7 mg, comprimé pelliculé"
"AUGMENTIN 1 g/125 mg, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)"
"AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AUGMENTIN 500 mg/62,5 mg, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)"
"AUREOMYCINE EVANS 1 POUR CENT, pommade ophtalmique"
"AUREOMYCINE EVANS 3 %, pommade"
"AUREOMYCINE MONOT 3 %, pommade"
"AURICULARUM, poudre et solvant pour suspension pour instillation auriculaire"
"AURIGOUTTE, gouttes auriculaires"
"AVAMYS 27,5 microgrammes/pulvérisation, suspension pour pulvérisation nasale"
"AVASTIN 25 mg/ml, solution à diluer pour perfusion"
"AVAXIM 160 U, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)"
"AVAXIM 80 U PEDIATRIQUE, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)"
"AVENOC, pommade"
"AVENOC, suppositoire"
"AVODART 0,5 mg, capsule molle"
"AVONEX 30 microgrammes/0,5 ml, solution injectable"
"AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli"
"AXELER 20 mg/5 mg, comprimé pelliculé"
"AXELER 40 mg/10 mg, comprimé pelliculé"
"AXELER 40 mg/5 mg, comprimé pelliculé"
"AXEPIM 0,5 g, poudre pour solution injectable"
"AXEPIM 1 g, poudre pour solution injectable"
"AXEPIM 2 g, poudre pour solution injectable"
"AXITINIB 1 mg, comprimé pelliculé"
"AXITINIB 3 mg, comprimé pelliculé"
"AXITINIB 5 mg, comprimé pelliculé"
"AXITINIB 7 mg, comprimé pelliculé"
"AXUMIN 1600 MBq/mL, solution injectable"
AXUMIN 3200 MBq/mL solution injectable
"AYBINTIO 25 mg/ml, solution à diluer pour perfusion"
"AYVAKYT 100 mg, comprimé pelliculé"
"AYVAKYT 200 mg, comprimé pelliculé"
"AYVAKYT 25 mg, comprimé pelliculé"
"AYVAKYT 300 mg, comprimé pelliculé"
"AYVAKYT 50 mg, comprimé pelliculé"
"AZACITIDINE 25 mg/mL, poudre pour suspension injectable"
"AZACITIDINE BETAPHARM 25 mg/mL, poudre pour suspension injectable"
"AZACITIDINE HIKMA 25 mg/mL, poudre pour suspension injectable"
"AZACITIDINE TILLOMED 25 mg/mL, poudre pour suspension injectable"
"AZACTAM 1 g, poudre et solution pour usage parentéral"
"AZADOSE 600 mg, comprimé pelliculé"
"AZANTAC INJECTABLE 50 mg/2 ml, solution injectable en ampoule"
"AZARGA 10 mg/ml + 5 mg/ml, collyre en suspension"
"AZATHIOPRINE 50 mg, comprimé pelliculé"
"AZATHIOPRINE 50 mg, comprimé pelliculé sécable"
"AZELASTINE CHLORHYDRATE / FLUTICASONE PROPIONATE 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale"
"AZELASTINE CHLORHYDRATE/FLUTICASONE PROPIONATE 137 microgrammes/ 50 microgrammes, suspension pour pulvérisation nasale"
"AZELASTINE CHLORHYDRATE/PROPIONATE DE FLUTICASONE 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale"
"AZILECT 1 mg, comprimé"
"AZITHROMYCINE 250 mg, comprimé pelliculé"
"AZITHROMYCINE 500 mg, comprimé pelliculé sécable"
"AZITHROMYCINE KRKA 250 mg, comprimé pelliculé"
"AZITHROMYCINE MONODOSE 250 mg, comprimé pelliculé"
"AZITHROMYCINE PFIZER 250 mg, comprimé pelliculé"
"AZITHROMYCINE PHARMA 250 mg, comprimé pelliculé"
"AZOPT 10 mg/ml, collyre en suspension"
"AZYTER 15 mg/g, collyre en solution en récipient unidose"
"AZZALURE, 125 unités Speywood, poudre pour solution injectable"
"Albumine humaine iodée [125 I], CIS bio international, solution injectable. [Réf : SERALB-125]"
"B O P, comprimé enrobé"
"B.A.L., solution injectable I.M."
"BACLOCUR 10 mg, comprimé pelliculé sécable"
"BACLOCUR 20 mg, comprimé pelliculé sécable"
"BACLOCUR 30 mg, comprimé pelliculé sécable"
"BACLOCUR 40 mg, comprimé pelliculé sécable"
"BACLOFENE 10 mg, comprimé sécable"
"BACLOFENE AGUETTANT 0,05 mg/ml, solution injectable pour voie intrathécale en ampoule"
"BACLOFENE AGUETTANT 0,5 mg/ml, solution pour perfusion pour voie intrathécale en ampoule"
"BACLOFENE AGUETTANT 2 mg/ml, solution pour perfusion pour voie intrathécale en ampoule"
"BACLOFENE SUN 0,05 mg/ml, solution injectable"
"BACLOFENE SUN 10 mg/20 ml, solution pour perfusion"
"BACLOFENE SUN 10 mg/5 ml, solution pour perfusion"
"BACTRIM 40 mg/mL + 8 mg/mL, suspension buvable"
"BACTRIM FORTE, comprimé sécable"
"BACTRIM, comprimé sécable"
"BACTRIM, solution injectable pour perfusion"
"BACTRIM, suspension buvable"
"BACTROBAN 2 %, pommade nasale"
"BADIAGA COMPLEXE N°47, comprimé sublingual"
"BALSAMORHINOL, solution pour instillation nasale"
"BALSOLENE, solution pour inhalation par fumigation"
"BALVERSA 3 mg, comprimé pelliculé"
"BALVERSA 4 mg, comprimé pelliculé"
"BALVERSA 5 mg, comprimé pelliculé"
"BAQSIMI 3 mg, poudre nasale en récipient unidose"
"BARACLUDE 0,05 mg/ml, solution buvable"
"BARACLUDE 0,5 mg, comprimé pelliculé"
"BARACLUDE 1 mg, comprimé pelliculé"
"BARITEKAL 20 mg/ml, solution injectable"
"BASDENE 25 mg, comprimé"
"BASILICUM COMPLEXE N°96, solution buvable en gouttes"
"BAUME AGATHOL, pommade"
"BAVENCIO 20 mg/mL, solution à diluer pour perfusion"
"BCG MAJORELLE 100 mg, poudre et solvant pour suspension intravésicale"
"BCG-MEDAC, poudre et solvant pour suspension intravésicale"
"BEAGYNE 150 mg, gélule"
"BEBEGEL, gel rectal en récipient unidose"
"BECILAN 250 mg, comprimé sécable"
"BECILAN 250 mg/5 ml, solution injectable"
"BECLO-RHINO 50 microgrammes/dose, suspension pour pulvérisation nasale en flacon"
"BECLOJET 250 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOMETASONE 250 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOMETASONE 400 microgrammes/1 ml, suspension pour inhalation par nébuliseur en récipient unidose"
"BECLOMETASONE 50 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOMETASONE 800 microgrammes/2 ml, suspension pour inhalation par nébuliseur en récipient unidose"
"BECLOMETASONE CHIESI 400 microgrammes/1 ml, suspension pour inhalation par nébuliseur"
"BECLOMETASONE CHIESI 800 microgrammes/2 ml, suspension pour inhalation par nébuliseur"
"BECLOMETASONE/FORMOTEROL 100/6 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOMETASONE/FORMOTEROL 200/6 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOSPIN 400 microgrammes, suspension pour inhalation par nébuliseur"
BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur
"BECLOSPRAY 250 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECLOSPRAY 50 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECONASE 50 microgrammes, suspension pour pulvérisation nasale en flacon pulvérisateur"
"BECOTIDE 250 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"BECOZYME, solution injectable en ampoule"
"BEDELIX, poudre pour suspension buvable en sachet"
"BEFIZAL 200 mg, comprimé pelliculé"
"BEFIZAL L.P. 400 mg, comprimé enrobé à libération prolongée"
"BEKEMV 300 mg, solution à diluer pour perfusion"
"BELANETTE 0,02 mg/3 mg, comprimé pelliculé"
"BELARA 0,03 mg/2 mg, comprimé pelliculé"
"BELARACONTINU 0,03 mg/2 mg, comprimé pelliculé"
"BELIVAIR RHUME PELARGONIUM, comprimé pelliculé"
"BELUSTINE 40 mg, gélule"
"BEMEDREX EASYHALER 200 microgrammes/dose, poudre pour inhalation"
"BEMFOLA 150 UI/0,25 ml, solution injectable en stylo prérempli"
"BEMFOLA 225 UI/0,375 ml, solution injectable en stylo prérempli"
"BEMFOLA 300 UI/0,50 ml, solution injectable en stylo prérempli"
"BEMFOLA 450 UI/0,75 ml, solution injectable en stylo prérempli"
"BEMFOLA 75 UI/0,125 ml, solution injectable en stylo prérempli"
"BENAZEPRIL 10 mg, comprimé pelliculé sécable"
"BENAZEPRIL 5 mg, comprimé pelliculé sécable"
"BENAZEPRIL HYDROCHLOROTHIAZIDE 10 mg/12,5 mg, comprimé pelliculé sécable"
"BENAZEPRIL/HYDROCHLOROTHIAZIDE 10 mg/12,5 mg, comprimé pelliculé sécable"
"BENDAMUSTINE 2,5 mg/mL, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE 2,5 mg/ml, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE 25 mg/mL, solution à diluer pour perfusion"
"BENDAMUSTINE BAXTER 2,5 mg/mL, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE FRESENIUS KABI 2,5 mg/mL, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE HIKMA 2,5 mg/ml, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE MEDAC 2,5 mg/mL, poudre pour solution à diluer pour perfusion"
"BENDAMUSTINE REDDY PHARMA 180 mg/4 ml, solution concentrée à diluer pour solution pour perfusion"
"BENEFIX 1000 UI, poudre et solvant pour solution injectable"
"BENEFIX 2000 UI, poudre et solvant pour solution injectable"
"BENEFIX 250 UI, poudre et solvant pour solution injectable"
"BENEFIX 3000 UI, poudre et solvant pour solution injectable"
"BENEFIX 500 UI, poudre et solvant pour solution injectable"
"BENEPALI 25 mg, solution injectable en seringue préremplie"
"BENEPALI 50 mg, solution injectable en seringue préremplie"
"BENEPALI 50 mg, solution injectable en stylo prérempli"
"BENERVA 250 mg, comprimé enrobé"
"BENERVA 500 mg/5 mL, solution injectable I.M. en ampoule"
"BENLYSTA 120 mg, poudre pour solution à diluer pour perfusion"
"BENLYSTA 200 mg, solution injectable en stylo prérempli"
"BENLYSTA 400 mg, poudre pour solution à diluer pour perfusion"
"BENZYDAMINE ACRAF 3 mg AROME ECALYPTUS, pastille"
"BENZYDAMINE ACRAF 3 mg AROME ORANGE-MIEL, pastille"
"BEOVU 120 mg/ml, solution injectable en seringue préremplie"
"BEPANTHENE 100 mg, comprimé"
"BEPANTHENE 250 mg/ml, solution injectable I.M."
"BERBERIS COMPLEXE N°83, solution buvable en gouttes"
"BERINERT 500 UI, poudre et solvant pour solution injectable/perfusion"
"BEROMUN 1 mg, poudre pour solution pour perfusion"
"BESPONSA 1 mg, poudre pour solution à diluer pour perfusion"
"BETAFACT 100 UI/mL, poudre et solvant pour solution injectable"
"BETAFERON 250 microgrammes/ml, poudre et solvant pour solution injectable"
"BETAGAN 0,5 % , collyre en solution en récipient unidose"
"BETAHISTINE 16 mg, comprimé sécable"
"BETAHISTINE 24 mg, comprimé"
"BETAHISTINE 24 mg, comprimé sécable"
"BETAHISTINE 8 mg, comprimé"
"BETAHISTINE FRANCE 24 mg, comprimé"
"BETAHISTINE FRANCE 8 mg, comprimé"
"BETAHISTINE GENERIQUES 24 mg, comprimé"
"BETAHISTINE GENERIQUES 8 mg, comprimé"
"BETAMETHASONE 0,05 %, solution buvable en gouttes"
"BETAMETHASONE 0,05 POUR CENT, solution buvable en gouttes"
"BETAMETHASONE 2 mg, comprimé dispersible sécable"
"BETASELEN, gélule"
"BETASERC 24 mg, comprimé"
"BETAXOLOL 20 mg, comprimé pelliculé sécable"
"BETESIL 2,250 mg, emplâtre médicamenteux"
"BETMIGA 25 mg, comprimé à libération prolongée"
"BETMIGA 50 mg, comprimé à libération prolongée"
"BETNESOL 0,50 mg, comprimé effervescent"
"BETNESOL 4 mg/1 ml, solution injectable"
"BETNESOL 5 mg/100 ml, solution rectale en poche"
"BETNEVAL 0,1 %, pommade"
"BETOPTIC 0,5 POUR CENT, collyre"
"BEVITINE 100 mg/2 ml, solution injectable en ampoule"
"BEVITINE 250 mg, comprimé enrobé"
"BEVITINE 500 mg/ 10 mL, solution injectable"
"BEXAROTENE CIPLA 75 mg, capsule molle"
"BEXSERO suspension injectable en seringue préremplie. Vaccin méningococcique groupe B (ADNr, composant, adsorbé)"
"BEYFORTUS 100 mg, solution injectable en seringue préremplie"
"BEYFORTUS 50 mg, solution injectable en seringue préremplie"
"BI MISSILOR 1,5 M.U.I./250 mg, comprimé pelliculé"
"BI PROFENID LP 100 mg, comprimé sécable à libération prolongée"
"BI TILDIEM L.P. 120 mg, comprimé enrobé à libération prolongée"
"BI TILDIEM L.P. 90 mg, comprimé enrobé à libération prolongée"
"BIAFINE, émulsion pour application cutanée"
"BIAFINEACT, émulsion pour application cutanée"
"BICAFRES 1000 mg, comprimé gastro-résistant"
"BICALUTAMIDE 50 mg, comprimé pelliculé"
"BICALUTAMIDE PHARMA 50 mg, comprimé pelliculé"
"BICARBONATE DE SODIUM 1,4 %, RENAUDIN, solution injectable"
"BICARBONATE DE SODIUM 4,2 % B. BRAUN, solution pour perfusion"
"BICARBONATE DE SODIUM 4,2 % RENAUDIN, solution injectable"
"BICARBONATE DE SODIUM 8,4 % B.BRAUN, solution pour perfusion"
"BICARBONATE DE SODIUM A 1,4 % BIOSEDRA, solution pour perfusion"
"BICARBONATE DE SODIUM BAXTER A 1,4 %, solution injectable pour perfusion en poche"
"BICARBONATE DE SODIUM COOPER 1,4 %, solution pour perfusion en flacon"
"BICARBONATE DE SODIUM COOPER 1,4 POUR CENT (0,14 g/10 ml), solution pour perfusion en ampoule"
"BICARBONATE DE SODIUM LAVOISIER 1,4 %, solution pour perfusion"
"BICARBONATE DE SODIUM RENAUDIN 8,4 % (84 mg/mL), solution injectable en ampoule"
"BICARBONATE DE SODIUM VIAFLO 1,4 %, solution pour perfusion"
"BICAVERA 1,5 % GLUCOSE, 1,25 mmol/L calcium, solution pour dialyse péritonéale"
"BICAVERA 1,5 % Glucose, 1,75 mmol/L Calcium, solution pour dialyse péritonéale"
"BICAVERA 2,3 % GLUCOSE, 1,25 mmol/L calcium, solution pour dialyse péritonéale"
"BICAVERA 2,3 % Glucose, 1,75 mmol/L Calcium, solution pour dialyse péritonéale"
"BICAVERA 4,25 % Glucose, 1,75 mmol/L Calcium, solution pour dialyse péritonéale"
"BICNU, poudre et solvant pour solution pour perfusion"
"BIKTARVY 30 mg/120 mg/15 mg, comprimé pelliculé"
"BIKTARVY 50 mg/200 mg/25 mg, comprimé pelliculé"
"BILASKA 10 mg, comprimé orodispersible"
"BILASKA 2,5 mg/ml, solution buvable"
"BILASKA 20 mg, comprimé"
"BILASTINE 20 mg, comprimé"
"BILINUM COMPLEXE N°113, comprimé sublingual"
"BILLEROL, comprimé à croquer"
"BILTRICIDE 600 mg, comprimé pelliculé quadrisécable"
"BIMATOPROST 0,1 mg/mL, collyre en solution"
"BIMATOPROST 0,3 mg/mL, collyre en solution"
"BIMATOPROST 0,3 mg/ml, collyre en solution"
"BIMATOPROST/TIMOLOL 0,3 mg/5 mg par mL, collyre en solution"
"BIMATOPROST/TIMOLOL 0,3 mg/mL + 5 mg/mL, collyre en solution"
"BIMZELX 160 mg, solution injectable en seringue préremplie"
"BIMZELX 160 mg, solution injectable en stylo prérempli"
"BIMZELX 320 mg, solution injectable en seringue préremplie"
"BIMZELX 320 mg, solution injectable en stylo prérempli"
"BINOCRIT 10 000 UI/1 mL, solution injectable en seringue préremplie"
"BINOCRIT 1000 UI/0,5 mL, solution injectable en seringue préremplie"
"BINOCRIT 20 000 UI/0,5 mL, solution injectable en seringue préremplie"
"BINOCRIT 2000 UI/1 mL, solution injectable en seringue préremplie"
"BINOCRIT 30 000 UI/0,75 mL, solution injectable en seringue préremplie"
"BINOCRIT 3000 UI/0,3 mL, solution injectable en seringue préremplie"
"BINOCRIT 40 000 UI/mL, solution injectable en seringue préremplie"
"BINOCRIT 4000 UI/0,4 mL, solution injectable en seringue préremplie"
"BINOCRIT 5000 UI/0,5 mL, solution injectable en seringue préremplie"
"BINOCRIT 6000 UI/0,6 mL, solution injectable en seringue préremplie"
"BINOCRIT 8000 UI/0,8 mL, solution injectable en seringue préremplie"
"BIOCALYPTOL 6,55 mg/5 ml SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide"
"BIOCALYPTOL, sirop"
"BIOCARDE, solution buvable"
"BIOCIDAN 0,1 mg/0,4 ml, collyre en récipient unidose"
"BIOCIDAN 0,25 POUR MILLE, collyre"
"BIODALGIC 50 mg, comprimé effervescent"
"BIOMAG AGRUMES, comprimé à croquer"
"BIONOLYTE G10, solution pour perfusion"
"BIONOLYTE G5, solution injectable pour perfusion"
"BIONOLYTE G5, solution pour perfusion"
"BIORGASEPT 0,5 %, solution pour application cutanée"
"BIOTINE 0,5 %, solution injectable I.M."
"BIOTINE 5 mg, comprimé"
"BIOXYOL, pâte pour application cutanée"
"BIPHOZYL, solution pour hémodialyse/hémofiltration"
"BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé"
"BIPRETERAX 5 mg/1,25 mg, comprimé pelliculé"
"BIRODOGYL, comprimé pelliculé"
"BISACODYL 5 mg, comprimé enrobé gastro-résistant"
"BISACODYL CONSEIL 5 mg, comprimé enrobé gastro-résistant"
"BISACODYL CONSEIL 5 mg, comprimé gastro-résistant"
"BISEPTINE, solution pour application locale"
"BISEPTINESPRAID, solution pour application cutanée"
"BISOCE 1,25 mg, comprimé pelliculé"
"BISOCE 10 mg, comprimé pelliculé sécable"
"BISOCE 2,5 mg, comprimé pelliculé sécable"
"BISOCE 3,75 mg, comprimé pelliculé sécable"
"BISOCE 5 mg, comprimé pelliculé sécable"
"BISOCE 7,5 mg, comprimé pelliculé sécable"
"BISOLVON 8 mg, comprimé"
"BISOPROLOL 1,25 mg, comprimé"
"BISOPROLOL 1,25 mg, comprimé pelliculé"
"BISOPROLOL 10 mg, comprimé"
"BISOPROLOL 10 mg, comprimé pelliculé"
"BISOPROLOL 10 mg, comprimé pelliculé sécable"
"BISOPROLOL 10 mg, comprimé sécable"
"BISOPROLOL 2,5 mg, comprimé pelliculé sécable"
"BISOPROLOL 2,5 mg, comprimé sécable"
"BISOPROLOL 3,75 mg, comprimé"
"BISOPROLOL 3,75 mg, comprimé pelliculé sécable"
"BISOPROLOL 5 mg, comprimé"
"BISOPROLOL 5 mg, comprimé pelliculé"
"BISOPROLOL 5 mg, comprimé pelliculé sécable"
"BISOPROLOL 5 mg, comprimé sécable"
"BISOPROLOL 7,5 mg, comprimé pelliculé sécable"
"BISOPROLOL 7,5 mg, comprimé sécable"
"BISOPROLOL FRANCE 1,25 mg, comprimé"
"BISOPROLOL FRANCE 2,50 mg, comprimé sécable"
"BISOPROLOL FRANCE 5 mg, comprimé sécable"
"BISOPROLOL HEALTHCARE 10 mg, comprimé pelliculé sécable"
"BISOPROLOL HEALTHCARE 2,5 mg, comprimé pelliculé sécable"
"BISOPROLOL HEALTHCARE 5 mg, comprimé pelliculé sécable"
"BISOPROLOL K.S 1,25 mg, comprimé"
"BISOPROLOL K.S 2,5 mg, comprimé"
"BISOPROLOL K.S 3,75 mg, comprimé"
"BISOPROLOL K.S 7,5 mg, comprimé"
"BISOPROLOL KRKA 10 mg, comprimé pelliculé sécable"
"BISOPROLOL KRKA 2,5 mg, comprimé pelliculé sécable"
"BISOPROLOL KRKA 5 mg, comprimé pelliculé sécable"
"BISOPROLOL NOR 10 mg, comprimé pelliculé sécable"
"BISOPROLOL PHARMA 10 mg, comprimé pelliculé"
"BISOPROLOL PHARMA 5 mg, comprimé pelliculé"
"BISOPROLOL QUIVER 1,25 mg, comprimé"
"BISOPROLOL QUIVER 10 mg, comprimé pelliculé sécable"
"BISOPROLOL QUIVER 10 mg, comprimé sécable"
"BISOPROLOL QUIVER 2,5 mg, comprimé pelliculé sécable"
"BISOPROLOL QUIVER 2,5 mg, comprimé sécable"
"BISOPROLOL QUIVER 3,75 mg, comprimé"
"BISOPROLOL QUIVER 3,75 mg, comprimé pelliculé sécable"
"BISOPROLOL QUIVER 5 mg, comprimé pelliculé sécable"
"BISOPROLOL QUIVER 5 mg, comprimé sécable"
"BISOPROLOL QUIVER 7,5 mg, comprimé pelliculé sécable"
"BISOPROLOL QUIVER 7,5 mg, comprimé sécable"
"BISOPROLOL REF 1,25 mg, comprimé pelliculé"
"BISOPROLOL REF 10 mg, comprimé pelliculé sécable"
"BISOPROLOL REF 2,5 mg, comprimé pelliculé sécable"
"BISOPROLOL REF 3,75 mg, comprimé pelliculé sécable"
"BISOPROLOL REF 5 mg, comprimé pelliculé sécable"
"BISOPROLOL REF 7,5 mg, comprimé pelliculé sécable"
"BISOPROLOL SUN 1,25 mg, comprimé"
"BISOPROLOL SUN 2,5 mg, comprimé sécable"
"BISOPROLOL/HYDROCHLOROTHIAZIDE 10 mg/6,25 mg, comprimé pelliculé"
"BISOPROLOL/HYDROCHLOROTHIAZIDE 2,5 mg/6,25 mg, comprimé pelliculé"
"BISOPROLOL/HYDROCHLOROTHIAZIDE 5 mg/6,25 mg, comprimé pelliculé"
"BIVALIRUDINE 250 mg, poudre pour solution à diluer pour solution injectable/pour perfusion"
"BLEOMYCINE 15000 UI, poudre pour solution injectable / pour perfusion"
"BLEOMYCINE BELLON 15 mg, poudre pour solution injectable"
"BLEU PATENTE V SODIQUE GUERBET 2,5 POUR CENT, solution injectable"
"BLINCYTO 38,5 microgrammes, poudre pour solution à diluer et solution pour solution pour perfusion"
"BLISSEL 50 microgrammes/g, gel vaginal"
"BOCEAL, solution pour pulvérisation buccale"
"BOCOUTURE 100 unités, poudre pour solution injectable"
"BOCOUTURE 50 unités, poudre pour solution injectable"
"BOLDOFLORINE, comprimé pelliculé"
"BOLDOFLORINE, mélange de plantes pour tisane en sachet-dose"
"BOLINAN 2 g, comprimé"
"BONASOL 70 mg, solution buvable"
"BONDRONAT 2 mg, solution à diluer pour perfusion"
"BONDRONAT 6 mg, solution à diluer pour perfusion"
"BONVIVA 150 mg, comprimé pelliculé"
"BONVIVA 3 mg, solution injectable"
"BOOSTRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigènes)"
"BORTEZOMIB 2,5 mg/ml, solution injectable"
"BORTEZOMIB 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB BAXTER 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB EVER PHARMA 2,5 mg/mL, solution injectable"
"BORTEZOMIB FRESENIUS KABI 2,5 mg, poudre pour solution injectable"
"BORTEZOMIB FRESENIUS KABI 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB OHRE PHARMA 1 mg, poudre pour solution injectable"
"BORTEZOMIB REDDY PHARMA 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB STRAGEN 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB SUN 3,5 mg, poudre pour solution injectable"
"BORTEZOMIB TILLOMED 3,5 mg, poudre pour solution injectable"
"BOSENTAN 125 mg, comprimé pelliculé"
"BOSENTAN 125 mg, comprimé pelliculé sécable"
"BOSENTAN 62,5 mg, comprimé pelliculé"
"BOSENTAN STRAGEN 125 mg, comprimé pelliculé"
"BOSENTAN STRAGEN 62,5 mg, comprimé pelliculé"
"BOSENTAN SUN 125 mg, comprimé pelliculé"
"BOSENTAN SUN 62,5 mg, comprimé pelliculé"
"BOSULIF 100 mg, comprimé pelliculé"
"BOSULIF 400 mg, comprimé pelliculé"
"BOSULIF 500 mg, comprimé pelliculé"
